Entity,Code,Year,CO₂ emissions per capita
India,IND,1858,0.0016306057
India,IND,1859,0.002622483
India,IND,1860,0.002641329
India,IND,1861,0.002035734
India,IND,1862,0.0022456788
India,IND,1863,0.0024812266
India,IND,1864,0.0023388793
India,IND,1865,0.0022912056
India,IND,1866,0.002577713
India,IND,1878,0.0069540306
India,IND,1879,0.006611514
India,IND,1880,0.0073761567
India,IND,1881,0.007152133
India,IND,1882,0.008482991
India,IND,1883,0.009352291
India,IND,1884,0.010376249
India,IND,1885,0.009272857
India,IND,1886,0.01036802
India,IND,1887,0.011375645
India,IND,1888,0.01254896
India,IND,1889,0.014703709
India,IND,1890,0.016115412
India,IND,1891,0.017284516
India,IND,1892,0.018952666
India,IND,1893,0.019993288
India,IND,1894,0.020229945
India,IND,1895,0.025301605
India,IND,1896,0.02732521
India,IND,1897,0.029601408
India,IND,1898,0.032682236
India,IND,1899,0.035929054
India,IND,1900,0.042496547
India,IND,1901,0.04676327
India,IND,1902,0.05125429
India,IND,1903,0.05197061
India,IND,1904,0.05781677
India,IND,1905,0.058772717
India,IND,1906,0.06747881
India,IND,1907,0.07472625
India,IND,1908,0.08500477
India,IND,1909,0.08200578
India,IND,1910,0.07948293
India,IND,1911,0.08363459
India,IND,1912,0.09608021
India,IND,1913,0.10591431
India,IND,1914,0.10660476
India,IND,1915,0.11136742
India,IND,1916,0.11253696
India,IND,1917,0.117483534
India,IND,1918,0.13188972
India,IND,1919,0.14359471
India,IND,1920,0.115977466
India,IND,1921,0.1239727
India,IND,1922,0.12101775
India,IND,1923,0.12333176
India,IND,1924,0.13069753
India,IND,1925,0.12771833
India,IND,1926,0.12604858
India,IND,1927,0.13091141
India,IND,1928,0.124054424
India,IND,1929,0.12776801
India,IND,1930,0.12841757
India,IND,1931,0.116237566
India,IND,1932,0.106686965
India,IND,1933,0.10327977
India,IND,1934,0.11374695
India,IND,1935,0.11721672
India,IND,1936,0.11361255
India,IND,1937,0.12410688
India,IND,1938,0.13681275
India,IND,1939,0.1326354
India,IND,1940,0.1399502
India,IND,1941,0.14319538
India,IND,1942,0.14350855
India,IND,1943,0.1259863
India,IND,1944,0.129791
India,IND,1945,0.14495872
India,IND,1946,0.14425123
India,IND,1947,0.14798945
India,IND,1948,0.14916411
India,IND,1949,0.15787567
India,IND,1950,0.17599274
India,IND,1951,0.18030834
India,IND,1952,0.18583614
India,IND,1953,0.18537368
India,IND,1954,0.19094001
India,IND,1955,0.20297568
India,IND,1956,0.20559466
India,IND,1957,0.22551806
India,IND,1958,0.23041473
India,IND,1959,0.23823537
India,IND,1960,0.25532722
India,IND,1961,0.26961234
India,IND,1962,0.2899293
India,IND,1963,0.30426666
India,IND,1964,0.29105714
India,IND,1965,0.31357706
India,IND,1966,0.31827164
India,IND,1967,0.31187475
India,IND,1968,0.33301112
India,IND,1969,0.33230522
India,IND,1970,0.33291033
India,IND,1971,0.34396365
India,IND,1972,0.35590428
India,IND,1973,0.35836908
India,IND,1974,0.3615395
India,IND,1975,0.38312787
India,IND,1976,0.39106047
India,IND,1977,0.40412238
India,IND,1978,0.40130946
India,IND,1979,0.41165555
India,IND,1980,0.424402
India,IND,1981,0.44759268
India,IND,1982,0.45172426
India,IND,1983,0.47764838
India,IND,1984,0.4789781
India,IND,1985,0.51459557
India,IND,1986,0.5391722
India,IND,1987,0.562909
India,IND,1988,0.59431225
India,IND,1989,0.63905036
India,IND,1990,0.668214
India,IND,1991,0.69619745
India,IND,1992,0.72586346
India,IND,1993,0.7344633
India,IND,1994,0.7586807
India,IND,1995,0.7919185
India,IND,1996,0.8406862
India,IND,1997,0.8587196
India,IND,1998,0.8597363
India,IND,1999,0.92580426
India,IND,2000,0.9330219
India,IND,2001,0.92884284
India,IND,2002,0.94091654
India,IND,2003,0.95665747
India,IND,2004,0.9987847
India,IND,2005,1.0352627
India,IND,2006,1.1026897
India,IND,2007,1.1703311
India,IND,2008,1.2338176
India,IND,2009,1.3164382
India,IND,2010,1.3498628
India,IND,2011,1.3999841
India,IND,2012,1.5070187
India,IND,2013,1.5398146
India,IND,2014,1.6368889
India,IND,2015,1.6805544
India,IND,2016,1.7504745
India,IND,2017,1.7840685
India,IND,2018,1.8879061
India,IND,2019,1.8798543
India,IND,2020,1.7272933
India,IND,2021,1.8920738
India,IND,2022,1.9861692
India,IND,2023,2.1297693
India,IND,2024,2.2009783
